,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
34379,19,251.0,-55.349,-65.172,201.0,4.9446,34.133,2
34380,19,251.0,-55.349,-65.172,203.2,5.0203,34.141,2
34381,19,251.0,-55.349,-65.172,250.9,4.9227,34.139,2
34437,19,252.0,-55.128,-65.532,302.4,5.0723,34.143,2
34439,19,252.0,-55.128,-65.532,353.5,5.0223,34.14,2
34450,19,253.0,-55.231,-65.35600000000001,302.7,4.9875,34.148,2
154890,236,73.0,-53.042,-49.525,16.0,5.0188,34.149,2
208216,297,4.0,-50.29600000000001,-56.788000000000004,299.7,5.0256,34.144,2
208223,297,5.0,-49.863,-56.361000000000004,151.5,5.0533,34.139,2
208332,297,11.0,-48.25899999999999,-54.791000000000004,101.1,4.9394,34.144,2
208363,297,12.0,-48.101000000000006,-54.635,100.9,4.9424,34.141999999999996,2
227793,332,2.0,-55.357,-64.84100000000001,201.2,4.9945,34.141999999999996,2
312592,675,1.0,-57.13,-68.25,252.8,5.0419,34.147,2
312650,675,3.0,-56.8,-68.19,308.6,5.0676,34.144,2
312651,675,3.0,-56.8,-68.19,309.0,5.0665,34.144,2
312756,675,8.0,-56.92,-68.24,253.5,5.0706,34.147,2
314285,675,77.0,-54.978,-57.998999999999995,254.4,5.0531,34.15,2
314340,675,80.0,-53.981,-58.0,252.9,4.9564,34.145,2
314341,675,80.0,-53.981,-58.0,253.1,4.9579,34.144,2
314378,675,82.0,-53.52,-58.0,172.4,5.0044,34.13,2
417894,1110,164.0,-50.9,-54.32,258.4,4.9374,34.143,2
417972,1111,2.0,-54.653999999999996,-58.559,53.9,4.9228,34.137,2
417973,1111,2.0,-54.653999999999996,-58.559,54.0,4.9234,34.137,2
417986,1111,3.0,-54.922,-58.361999999999995,102.4,5.0409,34.134,2
418020,1111,6.0,-55.07,-58.29,105.4,4.9982,34.145,2
418066,1111,10.0,-55.523999999999994,-57.986999999999995,16.5,4.9966,34.143,2
418078,1111,11.0,-55.821000000000005,-57.868,16.3,4.9679,34.139,2
418976,1113,26.0,-55.07,-58.0,202.3,5.0652,34.135999999999996,2
418999,1113,29.0,-54.903999999999996,-57.993,224.1,5.0039,34.133,2
