,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
26780,15,163.0,-58.958,-58.099,798.5,1.607,34.721,2
33603,19,235.0,-59.158,-57.63,760.7,1.5908,34.721,2
33809,19,240.0,-57.875,-60.464,1519.6,1.6103,34.721,2
34150,19,246.0,-57.122,-61.966,2028.5,1.5930000000000002,34.719,2
34194,19,248.0,-56.418,-63.306000000000004,2130.5,1.5708,34.717,2
34334,19,250.0,-55.754,-64.419,2232.1,1.5719999999999998,34.718,2
34335,19,250.0,-55.754,-64.419,2233.0,1.57,34.717,2
47003,28,116.0,-62.6,-64.27199999999999,613.0,1.6196,34.722,2
154793,236,69.0,-52.516999999999996,-46.375,1675.0,1.5719,34.717,2
154980,236,74.0,-55.008,-50.075,1695.0,1.5959999999999999,34.72,2
154981,236,74.0,-55.008,-50.075,1704.0,1.5884,34.72,2
155167,236,77.0,-59.658,-64.5,1354.0,1.6274,34.719,2
228144,332,20.0,-61.746,-62.699,808.8,1.6245,34.723,2
313503,675,43.0,-62.86,-63.52,508.2,1.6257,34.722,2
313504,675,43.0,-62.86,-63.52,508.5,1.6261,34.723,2
313945,675,63.0,-58.05,-56.431000000000004,1520.1,1.6223,34.722,2
343091,701,77.0,-49.548,-35.639,1488.1,1.5782,34.717,2
358297,1002,172.0,-49.2,-38.2,1517.1,1.6258,34.718,2
358298,1002,172.0,-49.2,-38.2,1517.5,1.6267,34.718,2
417588,1110,142.0,-50.23,-41.59,1363.9,1.6108,34.717,2
417600,1110,143.0,-50.36,-42.29,1366.6,1.5837,34.717,2
417601,1110,143.0,-50.36,-42.29,1366.6,1.5837,34.717,2
417647,1110,147.0,-50.57,-45.08,1402.8,1.574,34.717,2
418124,1111,14.0,-56.785,-57.309,2141.5,1.59,34.718,2
418131,1111,15.0,-57.091,-57.122,2143.5,1.6189,34.718,2
418890,1113,17.0,-57.099,-57.022,2029.3,1.6283,34.717,2
418901,1113,18.0,-56.782,-57.233000000000004,2236.6,1.5992,34.718,2
419123,1114,12.0,-59.667,-55.443999999999996,863.7,1.5887,34.718,2
419223,1114,19.0,-56.864,-57.178000000000004,1320.4,1.5962,34.72,2
419467,1115,13.0,-56.783,-57.231,2069.1,1.6230000000000002,34.717,2
419552,1115,19.0,-58.683,-56.053999999999995,1133.7,1.6076,34.721,2
