,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
94757,58,168.0,36.287,-56.398,398.8,18.018,36.525,2
157501,237,5.0,35.997,-68.002,253.0,18.281,36.554,2
157503,237,5.0,35.997,-68.002,392.0,18.124000000000002,36.556,2
157643,237,7.0,31.666999999999998,-68.497,293.0,17.984,36.547,2
157721,237,9.0,30.983,-73.30199999999999,407.0,18.039,36.548,2
157778,237,11.0,30.84,-74.05199999999999,297.0,18.087,36.55,2
195107,261,52.0,30.224,-66.00399999999999,250.3,18.23,36.559,2
195108,261,52.0,30.224,-66.00399999999999,300.8,17.96,36.525,2
195138,261,53.0,30.886999999999997,-66.0,251.7,18.261,36.558,2
195139,261,53.0,30.886999999999997,-66.0,300.8,18.062,36.537,2
195170,261,54.0,31.555999999999997,-65.98899999999999,302.1,18.065,36.559,2
195200,261,55.0,32.224000000000004,-65.997,251.2,18.135,36.556999999999995,2
195201,261,55.0,32.224000000000004,-65.997,299.9,17.972,36.532,2
195233,261,56.0,32.893,-66.001,253.1,18.070999999999998,36.555,2
195234,261,56.0,32.893,-66.001,299.8,17.996,36.547,2
195266,261,57.0,33.56,-65.999,299.8,18.13,36.556999999999995,2
195267,261,57.0,33.56,-65.999,400.4,17.901,36.531,2
195298,261,58.0,34.224000000000004,-65.99600000000001,302.2,18.044,36.553000000000004,2
195332,261,59.0,34.897,-66.007,399.1,18.042,36.556999999999995,2
195364,261,60.0,35.556999999999995,-65.997,399.2,17.93,36.539,2
195397,261,61.0,36.217,-66.002,400.9,17.968,36.547,2
195427,261,62.0,36.903,-65.999,302.3,18.054000000000002,36.551,2
195460,261,63.0,37.411,-65.99,399.7,17.855999999999998,36.524,2
195490,261,64.0,37.736,-66.0,298.9,18.065,36.554,2
195491,261,64.0,37.736,-66.0,399.7,17.867,36.529,2
195522,261,65.0,37.996,-65.987,399.6,18.028,36.556999999999995,2
203299,265,51.0,30.230999999999998,-65.994,349.8,18.064,36.533,2
203300,265,51.0,30.230999999999998,-65.994,349.8,18.064,36.531,2
203301,265,51.0,30.230999999999998,-65.994,351.5,18.049,36.531,2
203387,265,52.0,30.905,-66.002,350.9,18.085,36.532,2
203422,265,53.0,31.569000000000003,-65.99,351.1,18.085,36.53,2
203788,265,63.0,35.721,-67.188,300.3,18.213,36.543,2
203823,265,64.0,36.213,-67.475,350.1,18.183,36.542,2
203856,265,65.0,36.669000000000004,-67.757,350.5,18.163,36.538000000000004,2
203893,265,66.0,36.907,-67.919,400.2,18.279,36.556999999999995,2
203929,265,67.0,37.147,-68.067,400.5,18.205,36.546,2
204638,274,16.0,36.593,-70.305,293.5,18.224,36.532,2
204660,274,17.0,36.457,-70.025,293.5,18.045,36.537,2
204703,274,19.0,36.243,-69.157,295.5,17.986,36.534,2
204772,274,22.0,36.305,-67.313,299.5,17.94,36.531,2
204795,274,23.0,36.225,-66.675,296.5,18.086,36.538000000000004,2
204796,274,23.0,36.225,-66.675,394.4,17.952,36.529,2
204818,274,24.0,36.217,-66.077,296.5,17.985,36.541,2
204819,274,24.0,36.217,-66.077,396.4,17.748,36.52,2
204842,274,25.0,36.198,-65.437,291.4,18.01,36.539,2
204843,274,25.0,36.198,-65.437,391.4,17.782,36.52,2
204913,274,28.0,36.268,-63.528,296.5,17.803,36.528,2
205051,274,34.0,36.302,-59.181999999999995,293.5,17.805999999999997,36.53,2
221500,328,1.0,36.825,-69.415,454.9,17.969,36.556,2
221539,328,3.0,37.547,-69.444,304.1,18.113,36.533,2
221563,328,4.0,36.99,-69.444,426.3,17.995,36.559,2
221583,328,5.0,37.156,-69.471,453.4,17.78,36.52,2
221825,328,17.0,37.602,-68.048,455.6,17.883,36.538000000000004,2
221845,328,18.0,37.709,-67.892,428.4,17.752,36.523,2
221965,328,24.0,37.41,-66.692,431.6,17.919,36.551,2
221984,328,25.0,36.782,-65.98,402.8,18.076,36.558,2
221985,328,25.0,36.782,-65.98,453.5,17.846,36.521,2
222006,328,26.0,36.939,-65.977,477.4,17.947,36.549,2
222046,328,28.0,37.254,-65.971,425.8,18.059,36.556999999999995,2
222064,328,29.0,37.413000000000004,-65.96600000000001,348.9,18.065,36.543,2
222166,328,34.0,37.63,-65.033,352.9,18.212,36.559,2
222208,328,36.0,37.363,-64.248,404.4,17.982,36.538000000000004,2
222250,328,38.0,37.654,-64.514,452.7,17.84,36.53,2
222271,328,39.0,37.801,-64.64699999999999,426.7,17.871,36.542,2
222373,328,44.0,38.203,-63.801,449.9,17.874000000000002,36.537,2
222392,328,45.0,37.842,-62.422,401.5,17.868,36.541,2
222413,328,46.0,38.013000000000005,-62.45399999999999,429.0,17.898,36.548,2
222433,328,47.0,38.185,-62.489,453.1,17.755,36.528,2
222452,328,48.0,38.531,-62.556999999999995,384.0,18.064,36.552,2
222453,328,48.0,38.531,-62.556999999999995,427.4,17.878,36.538000000000004,2
222473,328,49.0,38.703,-62.593999999999994,453.4,17.961,36.542,2
222493,328,50.0,38.875,-62.626000000000005,429.0,17.930999999999997,36.548,2
222513,328,51.0,38.266999999999996,-63.025,451.8,17.962,36.548,2
222931,329,13.0,37.812,-68.468,335.1,17.963,36.533,2
222968,329,14.0,37.61,-68.336,402.6,17.86,36.548,2
223039,329,16.0,37.125,-68.051,440.4,17.782,36.537,2
223109,329,18.0,36.195,-67.44,317.1,17.893,36.541,2
223148,329,19.0,35.705,-67.173,467.6,17.781,36.525999999999996,2
223181,329,20.0,35.224000000000004,-66.885,301.7,17.933,36.553000000000004,2
223182,329,20.0,35.224000000000004,-66.885,351.3,17.726,36.523,2
223218,329,21.0,34.74,-66.581,369.5,17.904,36.551,2
223256,329,22.0,34.260999999999996,-66.293,468.6,17.757,36.529,2
223290,329,23.0,33.784,-65.991,352.4,17.889,36.548,2
223325,329,24.0,33.353,-65.595,317.8,17.926,36.556999999999995,2
223399,329,26.0,32.648,-64.929,352.3,17.756,36.532,2
223434,329,27.0,31.906,-65.042,317.2,17.959,36.559,2
223471,329,28.0,31.31,-65.28699999999999,386.8,17.820999999999998,36.545,2
223506,329,29.0,30.608,-65.339,351.6,17.833,36.549,2
319737,683,4.0,36.321999999999996,-69.74600000000001,408.43,17.683,36.533,2
320365,683,32.0,36.102,-69.70100000000001,408.22,17.975,36.55,2
320628,683,43.0,36.254,-63.018,307.1,17.840999999999998,36.536,2
320700,683,46.0,36.236999999999995,-61.174,306.72,17.882,36.528,2
320749,683,48.0,36.236999999999995,-59.915,407.26,17.924,36.56,2
320916,683,55.0,36.236999999999995,-55.614,306.34,17.749000000000002,36.534,2
349306,715,88.0,36.271,-56.476000000000006,303.7,18.059,36.523,2
349403,715,92.0,36.251,-59.004,381.4,17.982,36.531,2
349427,715,93.0,36.275999999999996,-59.591,296.8,18.065,36.541,2
349522,715,97.0,36.239000000000004,-62.156000000000006,295.4,18.102,36.541,2
349569,715,99.0,36.258,-63.44,303.2,18.232,36.554,2
349779,715,109.0,36.323,-69.376,381.0,18.171,36.543,2
349923,715,115.0,36.893,-70.608,426.3,17.965,36.527,2
349971,715,117.0,37.084,-71.025,388.2,17.97,36.533,2
389211,1026,176.0,39.246,-58.801,330.1,18.352999999999998,36.554,2
397990,1032,1.0,37.417,-61.31,405.8,18.012,36.556,2
397991,1032,1.0,37.417,-61.31,453.2,17.874000000000002,36.535,2
398087,1032,5.0,37.188,-66.07300000000001,477.9,17.884,36.535,2
398111,1032,6.0,37.31,-66.047,449.4,17.885,36.54,2
398156,1032,8.0,37.568000000000005,-65.563,349.8,17.921,36.543,2
398302,1032,14.0,38.591,-61.504,399.2,17.995,36.546,2
398398,1032,18.0,38.205,-59.192,459.8,17.83,36.531,2
398444,1032,20.0,38.048,-59.107,450.6,17.932000000000002,36.548,2
398705,1032,32.0,36.589,-65.24600000000001,401.6,17.913,36.538000000000004,2
398750,1032,34.0,37.236,-65.348,402.9,17.8,36.521,2
398794,1032,36.0,37.486999999999995,-65.46,450.6,17.849,36.531,2
398813,1032,37.0,38.016,-65.516,375.0,17.913,36.536,2
398963,1032,44.0,37.475,-61.468,350.6,17.967,36.552,2
399048,1032,48.0,38.219,-55.576,301.2,17.665,36.534,2
399049,1032,48.0,38.219,-55.576,349.7,17.660999999999998,36.533,2
399050,1032,48.0,38.219,-55.576,398.4,17.662,36.535,2
399051,1032,48.0,38.219,-55.576,449.5,17.658,36.534,2
399395,1032,64.0,36.039,-59.57899999999999,475.7,17.955,36.559,2
399416,1032,65.0,35.355,-61.0,349.4,17.98,36.551,2
399438,1032,66.0,35.06,-62.01,325.3,17.855999999999998,36.558,2
