,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
39904,24,20.0,47.893,-20.658,193.6,12.56,35.641999999999996,2
39951,24,21.0,47.766999999999996,-21.673000000000002,195.8,12.632,35.666,2
41619,25,23.0,42.28,-15.065999999999999,496.5,11.94,35.673,2
41646,25,24.0,42.581,-15.458,391.9,11.987,35.643,2
41728,25,27.0,43.479,-16.64,297.4,11.915,35.65,2
41756,25,28.0,43.778999999999996,-17.033,295.1,11.950999999999999,35.659,2
41811,25,30.0,44.368,-17.817,296.2,12.234000000000002,35.677,2
41838,25,31.0,44.675,-18.213,294.9,12.187999999999999,35.655,2
41894,25,33.0,45.422,-18.798,295.4,12.190999999999999,35.656,2
41951,25,35.0,46.172,-19.387999999999998,398.1,12.071,35.663000000000004,2
41952,25,35.0,46.172,-19.387999999999998,399.3,12.05,35.657,2
41976,25,36.0,46.543,-19.674,294.7,12.249,35.667,2
42058,25,39.0,47.665,-20.555999999999997,193.6,12.415999999999999,35.674,2
46533,27,523.0,43.2,-14.9,187.5,12.205,35.66,2
46564,27,524.0,44.6,-12.9,151.2,12.36,35.667,2
54495,32,202.0,40.001,-20.003,299.46,12.061,35.668,2
54496,32,202.0,40.001,-20.003,304.51,12.061,35.668,2
64077,37,454.0,47.54,-22.455,147.9,12.535,35.657,2
64119,37,455.0,47.605,-22.813000000000002,199.2,12.255999999999998,35.67,2
64171,37,456.0,47.488,-23.561999999999998,197.5,12.242,35.657,2
66756,39,183.0,43.07,-19.83,163.29,12.189,35.666,2
66757,39,183.0,43.07,-19.83,166.32,12.238,35.67,2
66793,39,184.0,45.34,-19.83,159.26,12.335,35.673,2
66794,39,184.0,45.34,-19.83,159.26,12.335,35.673,2
66795,39,184.0,45.34,-19.83,163.29,12.158,35.645,2
66844,39,186.0,47.51,-19.78,216.74,12.145,35.655,2
67276,40,302.0,46.599,-21.676,250.03,12.325,35.65,2
67292,40,303.0,45.598,-21.676,201.61,12.454,35.671,2
67293,40,303.0,45.598,-21.676,201.61,12.459000000000001,35.671,2
67317,40,304.0,46.375,-20.634,301.48,12.448,35.676,2
67318,40,304.0,46.375,-20.634,301.48,12.455,35.677,2
67366,40,305.0,47.185,-19.565,198.59,12.512,35.678000000000004,2
67367,40,305.0,47.185,-19.565,199.6,12.519,35.678000000000004,2
67526,40,311.0,45.604,-17.456,100.78,12.569,35.650999999999996,2
67527,40,311.0,45.604,-17.456,100.78,12.607999999999999,35.65,2
67644,40,315.0,47.597,-18.16,151.19,12.412,35.659,2
