,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
53840,31,585.0,57.37,-28.158,2646.7,2.4956,34.972,2
53877,31,587.0,56.46,-27.493000000000002,2779.4,2.4923,34.971,2
65893,38,524.0,57.961999999999996,-29.188000000000002,2209.7,2.4797,34.966,2
65918,38,525.0,57.678000000000004,-28.666999999999998,2456.2,2.4871,34.965,2
65941,38,526.0,57.373000000000005,-28.133000000000003,2550.6,2.4554,34.965,2
65942,38,526.0,57.373000000000005,-28.133000000000003,2610.3,2.428,34.965,2
65943,38,526.0,57.373000000000005,-28.133000000000003,2655.9,2.3824,34.964,2
70367,42,228.0,58.27,-26.0,2494.8,2.448,34.969,2
70368,42,228.0,58.27,-26.0,2548.8,2.3869,34.969,2
70390,42,229.0,57.79,-24.71,2796.6,2.4224,34.965,2
75925,45,529.0,57.382,-28.182,2619.8,2.4881,34.965,2
75945,45,530.0,56.983000000000004,-27.863000000000003,2810.0,2.4539,34.963,2
75967,45,531.0,56.585,-27.573,2760.0,2.4426,34.965,2
75988,45,532.0,56.183,-27.258000000000003,2701.5,2.4945,34.965,2
75989,45,532.0,56.183,-27.258000000000003,2786.0,2.4498,34.965,2
76011,45,533.0,55.782,-26.913,2981.2,2.4413,34.963,2
77684,46,377.0,58.653999999999996,-20.607,2901.9,2.4372,34.969,2
77706,46,379.0,59.083,-21.849,2872.9,2.4333,34.968,2
77728,46,380.0,59.409,-22.844,2495.3,2.4372,34.968,2
77750,46,381.0,59.742,-23.814,2339.5,2.4883,34.97,2
77948,46,392.0,60.736999999999995,-21.83,2316.5,2.3981,34.964,2
77992,46,394.0,59.792,-20.916,2817.6,2.48,34.966,2
78014,46,396.0,58.883,-22.961,2796.2,2.4312,34.964,2
78036,46,397.0,58.216,-24.433000000000003,2805.1,2.4127,34.961999999999996,2
78057,46,398.0,57.401,-24.884,2775.9,2.4303,34.961999999999996,2
78079,46,399.0,56.766000000000005,-25.999000000000002,2805.4,2.4372,34.961,2
82928,51,324.0,61.765,-22.769000000000002,1750.9,2.4923,34.976,2
82929,51,324.0,61.765,-22.769000000000002,1751.3,2.4894,34.976,2
82970,51,326.0,61.015,-22.151999999999997,2021.7,2.3505,34.972,2
82971,51,326.0,61.015,-22.151999999999997,2022.5,2.3663,34.972,2
82972,51,326.0,61.015,-22.151999999999997,2067.9,2.3439,34.972,2
82973,51,326.0,61.015,-22.151999999999997,2069.4,2.3436,34.972,2
82993,51,327.0,60.782,-21.85,2252.7,2.4682,34.97,2
82994,51,327.0,60.782,-21.85,2320.8,2.3047,34.971,2
82995,51,327.0,60.782,-21.85,2321.3,2.3044,34.971,2
83014,51,328.0,60.453,-21.66,2511.4,2.4877,34.977,2
83015,51,328.0,60.453,-21.66,2562.8,2.3632,34.973,2
83038,51,329.0,60.198,-21.25,2774.4,2.3915,34.978,2
83039,51,329.0,60.198,-21.25,2774.7,2.3909,34.978,2
83060,51,330.0,59.718,-20.914,2885.5,2.4838,34.977,2
83061,51,330.0,59.718,-20.914,2885.6,2.4838,34.976,2
83121,51,333.0,58.782,-20.964000000000002,2924.1,2.4963,34.974000000000004,2
83122,51,333.0,58.782,-20.964000000000002,2924.9,2.4959,34.974000000000004,2
83187,51,336.0,59.717,-23.465999999999998,2383.4,2.3698,34.975,2
83209,51,337.0,60.016000000000005,-24.337,2200.7,2.3348,34.973,2
83231,51,338.0,60.316,-25.212,2255.0,2.4193,34.975,2
83461,51,349.0,57.801,-24.799,2737.3,2.4918,34.975,2
83462,51,349.0,57.801,-24.799,2851.0,2.4646,34.977,2
83484,51,350.0,57.534,-24.0,2964.7,2.4925,34.974000000000004,2
151895,236,23.0,60.413000000000004,-18.617,2524.0,2.346,34.995,2
161960,237,130.0,57.672,-26.245,2838.0,2.4897,34.973,2
161970,237,131.0,57.515,-24.656999999999996,2845.0,2.4557,34.974000000000004,2
163211,237,160.0,61.492,-18.333,2311.0,2.4575,34.988,2
163212,237,160.0,61.492,-18.333,2360.0,2.3183,34.985,2
185853,258,92.0,59.965,-25.02,2192.2,2.3864,34.971,2
185878,258,93.0,59.666000000000004,-24.217,2453.5,2.4092,34.966,2
185901,258,94.0,59.369,-23.434,2366.6,2.4221,34.966,2
185923,258,95.0,59.068000000000005,-22.647,2666.9,2.4945,34.968,2
185924,258,95.0,59.068000000000005,-22.647,2718.5,2.3205,34.97,2
185947,258,96.0,58.75,-21.865,2903.1,2.45,34.965,2
185948,258,96.0,58.75,-21.865,2953.0,2.4421,34.966,2
185971,258,97.0,58.6,-21.499000000000002,2895.9,2.3784,34.967,2
185972,258,97.0,58.6,-21.499000000000002,2955.8,2.3592,34.968,2
185995,258,98.0,58.431000000000004,-21.069000000000003,2919.3,2.4798,34.963,2
185996,258,98.0,58.431000000000004,-21.069000000000003,2970.6,2.3954,34.968,2
189302,259,69.0,59.158,-20.275,2839.0,2.4216,34.967,2
189326,259,70.0,59.351000000000006,-21.19,2904.2,2.3605,34.964,2
189349,259,71.0,59.52,-22.095,2635.5,2.4566,34.966,2
189350,259,71.0,59.52,-22.095,2727.7,2.3447,34.967,2
189370,259,72.0,59.698,-23.006,2326.0,2.4938,34.969,2
189390,259,73.0,59.867,-23.953000000000003,2332.1,2.4512,34.968,2
197652,262,86.0,59.95,-24.726999999999997,2195.9,2.4577,34.966,2
197676,262,87.0,59.641999999999996,-23.915,2401.1,2.3196,34.967,2
197724,262,89.0,59.011,-22.406999999999996,2799.4,2.4125,34.966,2
197725,262,89.0,59.011,-22.406999999999996,2837.0,2.3865,34.965,2
197773,262,91.0,58.365,-20.904,2977.0,2.4555,34.965,2
218105,322,6.0,62.33,-20.002,1831.5,2.47,34.975,2
218197,322,10.0,60.327,-19.998,2587.6,2.4419999999999997,34.975,2
218198,322,10.0,60.327,-19.998,2587.6,2.4419999999999997,34.974000000000004,2
218223,322,11.0,59.843,-19.987000000000002,2760.3,2.3035,34.975,2
218248,322,12.0,59.393,-19.987000000000002,2801.2,2.3043,34.974000000000004,2
218272,322,13.0,58.823,-20.012999999999998,2834.7,2.3813,34.976,2
233502,338,78.0,60.023,-20.002,2725.5,2.4931,34.974000000000004,2
233550,338,80.0,61.0,-19.914,2403.9,2.4144,34.969,2
238252,342,10.0,60.501000000000005,-20.0,2548.7,2.4689,34.981,2
238286,342,11.0,60.0,-20.002,2753.8,2.4605,34.983000000000004,2
238318,342,12.0,59.5,-19.997,2796.7,2.4277,34.989000000000004,2
238352,342,13.0,58.998999999999995,-19.999000000000002,2873.1,2.3983,34.985,2
285023,393,44.0,57.235,-28.058000000000003,2696.8,2.4999,34.974000000000004,2
285024,393,44.0,57.235,-28.058000000000003,2731.9,2.4699,34.975,2
285047,393,45.0,56.934,-27.82,2882.0,2.4989,34.968,2
285048,393,45.0,56.934,-27.82,2882.6,2.4989,34.967,2
285071,393,46.0,56.629,-27.583000000000002,2748.9,2.4653,34.966,2
285090,393,47.0,56.333,-27.344,2683.8,2.4894,34.97,2
285113,393,48.0,56.037,-27.11,2825.6,2.4684,34.969,2
285114,393,48.0,56.037,-27.11,2826.1,2.4683,34.971,2
298029,660,25.0,58.205,-24.639,2807.1,2.4811,34.971,2
298047,660,26.0,58.331,-25.54,2794.4,2.451,34.975,2
303354,668,8.0,60.328,-20.003,2639.5,2.3908,34.976,2
303386,668,9.0,61.015,-20.027,2321.6,2.4241,34.979,2
303398,668,10.0,61.132,-19.998,2342.0,2.43,34.976,2
303399,668,10.0,61.132,-19.998,2366.4,2.3187,34.975,2
303420,668,11.0,61.538000000000004,-20.017,2116.0,2.4498,34.978,2
303434,668,12.0,61.742,-20.008,1869.0,2.4589,34.977,2
303456,668,14.0,61.132,-19.998,1741.0,2.454,34.977,2
303457,668,14.0,61.132,-19.998,1790.7,2.4429,34.975,2
303458,668,14.0,61.132,-19.998,1839.5,2.4259,34.975,2
305572,669,81.0,59.997,-20.01,2618.0,2.3713,34.982,2
305573,669,81.0,59.997,-20.01,2618.0,2.3703,34.982,2
305574,669,81.0,59.997,-20.01,2618.0,2.3703,34.981,2
305575,669,81.0,59.997,-20.01,2618.0,2.3723,34.98,2
305576,669,81.0,59.997,-20.01,2619.0,2.3692,34.982,2
305577,669,81.0,59.997,-20.01,2619.0,2.3702,34.981,2
305578,669,81.0,59.997,-20.01,2659.0,2.435,34.974000000000004,2
305579,669,81.0,59.997,-20.01,2660.0,2.432,34.976,2
306331,671,34.0,61.007,-19.985,2380.0,2.4473,34.978,2
306332,671,34.0,61.007,-19.985,2422.0,2.3522,34.98,2
306411,671,39.0,62.243,-20.002,1822.0,2.4739,34.979,2
306412,671,39.0,62.243,-20.002,1865.0,2.4559,34.979,2
306413,671,39.0,62.243,-20.002,1865.0,2.4559,34.979,2
306432,671,40.0,62.0,-20.0,1720.0,2.4511,34.975,2
306433,671,40.0,62.0,-20.0,1770.0,2.3908,34.976,2
306434,671,40.0,62.0,-20.0,1819.0,2.3901,34.976,2
306454,671,41.0,61.75,-19.995,1758.0,2.4532,34.978,2
306455,671,41.0,61.75,-19.995,1805.0,2.3115,34.975,2
306478,671,42.0,61.5,-19.997,2190.0,2.476,34.978,2
306503,671,43.0,61.251999999999995,-19.997,2393.0,2.4742,34.977,2
306527,671,44.0,60.733000000000004,-19.987000000000002,2366.0,2.4017,34.979,2
306551,671,45.0,60.5,-20.0,2562.0,2.4113,34.979,2
306573,671,46.0,60.247,-20.005,2591.0,2.4274,34.979,2
306574,671,46.0,60.247,-20.005,2639.0,2.3647,34.98,2
306575,671,46.0,60.247,-20.005,2683.0,2.3223,34.981,2
306599,671,47.0,60.0,-19.998,2751.0,2.4341,34.976,2
306623,671,48.0,59.995,-20.5,2790.0,2.4637,34.978,2
306647,671,49.0,60.0,-21.0,2814.0,2.4374,34.976,2
306671,671,50.0,60.003,-21.5,2804.0,2.4686,34.975,2
306695,671,51.0,59.993,-22.015,2694.0,2.467,34.976,2
306718,671,52.0,59.986999999999995,-22.503,2539.0,2.4419,34.979,2
306719,671,52.0,59.986999999999995,-22.503,2596.0,2.4409,34.979,2
306743,671,53.0,59.975,-23.03,2389.0,2.4274,34.98,2
306767,671,54.0,59.99,-23.515,2152.0,2.4364,34.981,2
306791,671,55.0,60.0,-24.005,2232.0,2.4732,34.978,2
306863,671,58.0,60.2,-25.383000000000003,2228.0,2.4878,34.98,2
307137,671,78.0,61.72,-22.248,1716.0,2.4879,34.978,2
307181,671,80.0,60.893,-21.145,2225.0,2.4652,34.982,2
307182,671,80.0,60.893,-21.145,2279.0,2.3695,34.979,2
307204,671,81.0,60.431999999999995,-20.596999999999998,2571.0,2.4582,34.975,2
307205,671,81.0,60.431999999999995,-20.596999999999998,2632.0,2.3425,34.979,2
307228,671,82.0,60.0,-20.0,2701.0,2.4865,34.977,2
307229,671,82.0,60.0,-20.0,2754.0,2.4652,34.98,2
307253,671,83.0,60.008,-20.005,2743.0,2.4314,34.979,2
307277,671,84.0,59.978,-19.65,2735.0,2.484,34.974000000000004,2
307299,671,85.0,59.645,-19.293,2691.0,2.4512,34.975,2
307300,671,85.0,59.645,-19.293,2725.0,2.449,34.977,2
307521,671,96.0,60.235,-16.987000000000002,2577.0,2.4958,34.98,2
307522,671,96.0,60.235,-16.987000000000002,2630.0,2.4506,34.976,2
307546,671,97.0,60.498000000000005,-16.997,2585.0,2.4301,34.977,2
307570,671,98.0,60.75,-16.988,2551.0,2.4333,34.978,2
307593,671,99.0,61.02,-17.023,2445.0,2.4719,34.98,2
307594,671,99.0,61.02,-17.023,2495.0,2.3916,34.978,2
307617,671,100.0,61.258,-17.008,2436.0,2.3791,34.982,2
307618,671,100.0,61.258,-17.008,2458.0,2.3783,34.981,2
307642,671,101.0,61.5,-17.005,2420.0,2.4933,34.981,2
307712,671,104.0,62.257,-16.983,2066.0,2.3823,34.967,2
307737,671,105.0,62.513000000000005,-17.017,2023.0,2.4953,34.976,2
307754,671,108.0,62.753,-17.002,1601.0,2.4495,34.976,2
308066,672,18.0,58.494,-20.493000000000002,2893.2,2.4601,34.97,2
308067,672,18.0,58.494,-20.493000000000002,2941.1,2.3909,34.971,2
308182,672,23.0,57.918,-22.874000000000002,2995.0,2.4926,34.967,2
308205,672,24.0,58.068000000000005,-23.753,2890.1,2.4682,34.97,2
308206,672,24.0,58.068000000000005,-23.753,2944.1,2.4028,34.973,2
308207,672,24.0,58.068000000000005,-23.753,2985.1,2.3615,34.973,2
308230,672,25.0,58.207,-24.645,2771.4,2.4684,34.976,2
308231,672,25.0,58.207,-24.645,2822.3,2.4451,34.974000000000004,2
308253,672,26.0,58.349,-25.586,2738.4,2.4663,34.974000000000004,2
308254,672,26.0,58.349,-25.586,2796.3,2.4537,34.972,2
308274,672,27.0,58.413999999999994,-26.561999999999998,2534.7,2.4987,34.977,2
308275,672,27.0,58.413999999999994,-26.561999999999998,2585.6,2.4583,34.977,2
308276,672,27.0,58.413999999999994,-26.561999999999998,2636.5,2.4574,34.975,2
308277,672,27.0,58.413999999999994,-26.561999999999998,2698.4,2.4454,34.977,2
308783,672,54.0,61.498999999999995,-20.012999999999998,2230.1,2.4434,34.982,2
308830,672,56.0,61.0,-20.012999999999998,2378.9,2.4455,34.983000000000004,2
308831,672,56.0,61.0,-20.012999999999998,2417.8,2.408,34.982,2
308854,672,57.0,60.74,-20.018,2382.9,2.4335,34.98,2
308876,672,58.0,60.48,-20.005,2537.7,2.4136,34.985,2
308877,672,58.0,60.48,-20.005,2556.6,2.3914,34.984,2
308901,672,59.0,60.246,-20.012,2672.5,2.4695,34.979,2
308923,672,60.0,59.983000000000004,-19.968,2697.4,2.4654,34.981,2
308924,672,60.0,59.983000000000004,-19.968,2751.4,2.3928,34.977,2
309203,672,79.0,59.995,-24.497,2229.1,2.4816,34.979,2
309227,672,80.0,59.995,-24.0,2223.1,2.3982,34.975,2
309251,672,81.0,60.001000000000005,-23.506,2135.3,2.458,34.982,2
309275,672,82.0,59.997,-22.935,2408.9,2.4195,34.978,2
309321,672,84.0,59.996,-22.000999999999998,2687.4,2.4232,34.973,2
309345,672,85.0,59.99,-21.461,2804.3,2.3836,34.973,2
309369,672,86.0,60.0,-21.0,2809.3,2.4423,34.97,2
309392,672,87.0,60.005,-20.472,2741.4,2.4643,34.975,2
309393,672,87.0,60.005,-20.472,2796.3,2.4151,34.977,2
309416,672,88.0,60.013000000000005,-19.965999999999998,2688.4,2.4491,34.976,2
309439,672,89.0,59.813,-19.625999999999998,2688.4,2.4645,34.972,2
309440,672,89.0,59.813,-19.625999999999998,2743.4,2.3625,34.976,2
309463,672,90.0,59.648999999999994,-19.285,2668.4,2.4576,34.975,2
309464,672,90.0,59.648999999999994,-19.285,2721.4,2.3728,34.975,2
309488,672,91.0,59.468,-18.935,2762.4,2.4175,34.973,2
309683,672,102.0,60.45,-17.024,2583.6,2.4344,34.986,2
309707,672,103.0,60.757,-17.005,2545.6,2.385,34.982,2
309730,672,104.0,61.008,-17.0,2502.7,2.4003,34.984,2
309731,672,104.0,61.008,-17.0,2504.7,2.3942,34.984,2
309755,672,105.0,61.248999999999995,-17.005,2441.8,2.4654,34.976,2
309800,672,107.0,61.745,-17.046,2332.9,2.4543,34.985,2
309801,672,107.0,61.745,-17.046,2369.9,2.4129,34.983000000000004,2
309849,672,109.0,62.251999999999995,-17.009,2185.1,2.4706,34.986,2
309871,672,110.0,62.496,-17.008,1975.4,2.4968,34.994,2
309872,672,110.0,62.496,-17.008,2032.3,2.4526,34.991,2
309980,672,117.0,62.821000000000005,-15.0,1977.4,2.421,34.982,2
309981,672,117.0,62.821000000000005,-15.0,1988.4,2.4071,34.983000000000004,2
319034,680,56.0,60.06100000000001,-19.836,2728.8,2.4056,34.971,2
325394,686,26.0,59.09,-21.965999999999998,2867.3,2.4661,34.972,2
325395,686,26.0,59.09,-21.965999999999998,2879.9,2.4659,34.972,2
325396,686,26.0,59.09,-21.965999999999998,2884.3,2.4654,34.972,2
325417,686,29.0,59.216,-21.081999999999997,2901.4,2.4911,34.974000000000004,2
325427,686,30.0,59.478,-23.248,2355.4,2.4298,34.977,2
325428,686,30.0,59.478,-23.248,2370.5,2.4284,34.975,2
325429,686,30.0,59.478,-23.248,2373.5,2.4281,34.976,2
