,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
43423,25,95.0,59.77,-41.301,1497.2,3.0210000000000004,34.908,2
43444,25,96.0,59.787,-41.648999999999994,1496.0,3.0103,34.911,2
43485,25,98.0,59.787,-41.645,1395.2,3.083,34.908,2
43766,25,113.0,59.7,-42.0,1395.6,3.0276,34.906,2
43785,25,114.0,59.653,-41.792,1395.7,2.898,34.909,2
44150,26,669.0,58.967,-43.667,1499.9,2.9243,34.911,2
53309,31,560.0,59.93,-41.853,1492.6,3.0682,34.897,2
53393,31,564.0,59.787,-40.205,1010.4,3.0987,34.86,2
53394,31,564.0,59.787,-40.205,1212.7,3.0133,34.854,2
53395,31,564.0,59.787,-40.205,1413.9,2.9859,34.857,2
53416,31,565.0,59.705,-39.59,1194.9,3.0236,34.852,2
53417,31,565.0,59.705,-39.59,1195.2,3.0226,34.852,2
53438,31,567.0,59.505,-37.548,1308.3,2.9601,34.848,2
53461,31,568.0,59.402,-36.648,1371.6,3.0251,34.853,2
53486,31,569.0,59.335,-35.943000000000005,1485.8,3.0491,34.863,2
65208,37,488.0,43.148,-48.733000000000004,1401.0,3.0653,34.876999999999995,2
65250,38,493.0,55.24,-53.945,999.8,3.0238,34.863,2
65251,38,493.0,55.24,-53.945,1099.2,2.9744,34.861,2
65252,38,493.0,55.24,-53.945,1200.0,2.9258,34.859,2
65253,38,493.0,55.24,-53.945,1298.6,2.8892,34.858000000000004,2
65254,38,493.0,55.24,-53.945,1499.8,2.8321,34.866,2
65268,38,494.0,55.413000000000004,-53.827,799.1,3.0916,34.861999999999995,2
65269,38,494.0,55.413000000000004,-53.827,944.0,3.0132,34.858000000000004,2
65270,38,494.0,55.413000000000004,-53.827,1095.6,2.9271,34.853,2
65271,38,494.0,55.413000000000004,-53.827,1244.2,2.8678,34.85,2
65272,38,494.0,55.413000000000004,-53.827,1402.2,2.8284,34.849000000000004,2
65291,38,495.0,55.615,-53.608000000000004,799.3,3.0449,34.853,2
65292,38,495.0,55.615,-53.608000000000004,949.6,2.9234,34.844,2
65293,38,495.0,55.615,-53.608000000000004,1101.7,2.886,34.846,2
65294,38,495.0,55.615,-53.608000000000004,1350.3,2.8039,34.843,2
65311,38,496.0,55.843,-53.376999999999995,1460.8,2.7069,34.830999999999996,2
65312,38,496.0,55.843,-53.376999999999995,1462.7,2.7068,34.832,2
65313,38,496.0,55.843,-53.376999999999995,1464.6,2.7076,34.832,2
65314,38,496.0,55.843,-53.376999999999995,1467.2,2.7074,34.830999999999996,2
65315,38,496.0,55.843,-53.376999999999995,1469.9,2.7071,34.832,2
65316,38,496.0,55.843,-53.376999999999995,1471.4,2.708,34.832,2
65317,38,496.0,55.843,-53.376999999999995,1472.2,2.7089,34.832,2
65318,38,496.0,55.843,-53.376999999999995,1473.5,2.7088,34.832,2
65319,38,496.0,55.843,-53.376999999999995,1474.9,2.7087,34.832,2
65320,38,496.0,55.843,-53.376999999999995,1476.3,2.7086,34.832,2
65321,38,496.0,55.843,-53.376999999999995,1476.8,2.7086,34.833,2
65322,38,496.0,55.843,-53.376999999999995,1477.0,2.7085,34.832,2
65323,38,496.0,55.843,-53.376999999999995,1477.4,2.7095,34.832,2
65324,38,496.0,55.843,-53.376999999999995,1477.6,2.7085,34.832,2
65325,38,496.0,55.843,-53.376999999999995,1477.8,2.7095,34.833,2
65326,38,496.0,55.843,-53.376999999999995,1477.9,2.7085,34.832,2
65327,38,496.0,55.843,-53.376999999999995,1477.9,2.7085,34.832,2
65328,38,496.0,55.843,-53.376999999999995,1478.0,2.7094,34.832,2
65329,38,496.0,55.843,-53.376999999999995,1478.1,2.7085,34.832,2
65338,38,497.0,59.747,-49.175,788.9,3.0645,34.855,2
65339,38,497.0,59.747,-49.175,997.6,2.9238,34.848,2
65340,38,497.0,59.747,-49.175,1098.4,2.8674,34.844,2
65341,38,497.0,59.747,-49.175,1246.7,2.8162,34.842,2
65342,38,497.0,59.747,-49.175,1397.6,2.7575,34.838,2
65362,38,498.0,59.053000000000004,-49.97,697.5,3.0066,34.849000000000004,2
65363,38,498.0,59.053000000000004,-49.97,898.5,2.8637,34.841,2
65364,38,498.0,59.053000000000004,-49.97,1099.4,2.7811,34.836,2
65365,38,498.0,59.053000000000004,-49.97,1280.8,2.7382,34.834,2
65385,38,499.0,59.483000000000004,-49.453,799.4,3.0121,34.851,2
65386,38,499.0,59.483000000000004,-49.453,1000.7,2.9057,34.846,2
65387,38,499.0,59.483000000000004,-49.453,1201.5,2.8267,34.842,2
65388,38,499.0,59.483000000000004,-49.453,1400.5,2.7603,34.836999999999996,2
65407,38,500.0,59.992,-48.897,799.1,3.0588,34.861999999999995,2
65408,38,500.0,59.992,-48.897,999.3,2.9147,34.85,2
65409,38,500.0,59.992,-48.897,1199.4,2.8496,34.847,2
65410,38,500.0,59.992,-48.897,1401.6,2.778,34.841,2
65533,38,508.0,59.92,-41.86,1498.7,3.0773,34.881,2
65550,38,509.0,59.875,-41.497,1112.1,3.0725,34.87,2
65551,38,509.0,59.875,-41.497,1200.3,3.0288,34.867,2
65552,38,509.0,59.875,-41.497,1298.3,2.9684,34.864000000000004,2
65553,38,509.0,59.875,-41.497,1399.8,2.9255,34.869,2
65571,38,510.0,59.867,-41.223,1000.1,3.0555,34.868,2
65572,38,510.0,59.867,-41.223,1098.3,2.9933,34.864000000000004,2
65573,38,510.0,59.867,-41.223,1199.1,2.9427,34.86,2
65574,38,510.0,59.867,-41.223,1300.8,2.9108,34.859,2
65575,38,510.0,59.867,-41.223,1398.6,2.8919,34.859,2
65594,38,511.0,59.848,-40.891999999999996,1097.4,3.0677,34.87,2
65595,38,511.0,59.848,-40.891999999999996,1204.4,3.0186,34.867,2
65596,38,511.0,59.848,-40.891999999999996,1292.5,2.9778,34.864000000000004,2
65597,38,511.0,59.848,-40.891999999999996,1499.7,2.9389,34.875,2
65612,38,512.0,59.742,-40.062,597.7,3.0306,34.861,2
65613,38,512.0,59.742,-40.062,746.5,2.9493,34.855,2
65614,38,512.0,59.742,-40.062,898.2,2.8866,34.85,2
65615,38,512.0,59.742,-40.062,1047.6,2.8981,34.855,2
65616,38,512.0,59.742,-40.062,1200.5,2.8693,34.852,2
65617,38,512.0,59.742,-40.062,1345.9,2.8310000000000004,34.849000000000004,2
65618,38,512.0,59.742,-40.062,1496.0,2.7959,34.846,2
65636,38,513.0,59.647,-38.913000000000004,549.9,2.9474,34.85,2
65637,38,513.0,59.647,-38.913000000000004,699.2,2.9687,34.858000000000004,2
65638,38,513.0,59.647,-38.913000000000004,849.8,2.903,34.852,2
65639,38,513.0,59.647,-38.913000000000004,1000.2,2.8789,34.852,2
65641,38,513.0,59.647,-38.913000000000004,1400.7,2.8087,34.847,2
65661,38,514.0,59.523,-37.643,550.1,3.0937,34.863,2
65662,38,514.0,59.523,-37.643,699.7,3.0362,34.864000000000004,2
65663,38,514.0,59.523,-37.643,901.4,2.9499,34.858000000000004,2
65664,38,514.0,59.523,-37.643,1099.1,2.91,34.856,2
65665,38,514.0,59.523,-37.643,1298.8,2.8961,34.857,2
65666,38,514.0,59.523,-37.643,1499.4,2.8431,34.852,2
65688,38,515.0,59.391999999999996,-36.367,896.9,3.0981,34.876,2
65689,38,515.0,59.391999999999996,-36.367,1098.4,2.9408,34.858000000000004,2
65690,38,515.0,59.391999999999996,-36.367,1298.7,2.8853,34.853,2
65691,38,515.0,59.391999999999996,-36.367,1497.4,2.865,34.853,2
65711,38,516.0,59.257,-35.082,849.5,3.0203,34.86,2
65712,38,516.0,59.257,-35.082,999.9,2.9474,34.855,2
65713,38,516.0,59.257,-35.082,1200.2,2.8931,34.853,2
65714,38,516.0,59.257,-35.082,1398.6,2.8979,34.856,2
70866,42,254.0,52.35,-35.0,1397.0,3.0711,34.874,2
70913,42,256.0,51.35,-35.0,1497.4,3.0785,34.874,2
72695,43,333.0,43.088,-48.847,1473.6,3.0958,34.878,2
72718,43,334.0,43.14,-48.995,1199.3,3.0884,34.86,2
72719,43,334.0,43.14,-48.995,1300.5,3.0715,34.864000000000004,2
72720,43,334.0,43.14,-48.995,1464.1,3.0293,34.865,2
72761,44,339.0,52.95,-51.35,697.4,3.0832,34.846,2
72762,44,339.0,52.95,-51.35,897.6,2.8916,34.832,2
72763,44,339.0,52.95,-51.35,1197.3,2.8557,34.839,2
72764,44,339.0,52.95,-51.35,1497.4,2.8472,34.85,2
72784,44,341.0,55.33,-53.89,797.5,3.0261,34.84,2
72785,44,341.0,55.33,-53.89,998.8,2.9386,34.839,2
72786,44,341.0,55.33,-53.89,1098.0,2.9141,34.841,2
72787,44,341.0,55.33,-53.89,1198.3,2.8973,34.843,2
72788,44,341.0,55.33,-53.89,1297.6,2.92,34.853,2
72789,44,341.0,55.33,-53.89,1398.0,2.8693,34.852,2
72790,44,341.0,55.33,-53.89,1497.4,2.8264,34.849000000000004,2
72814,44,343.0,55.15,-54.06,1097.0,3.0519,34.855,2
72815,44,343.0,55.15,-54.06,1204.4,3.0523,34.863,2
72823,44,346.0,55.56,-53.67,996.8,3.0816,34.855,2
72824,44,346.0,55.56,-53.67,1196.3,2.9885,34.855,2
72825,44,346.0,55.56,-53.67,1398.0,2.9286,34.857,2
72843,44,347.0,55.97,-53.27,698.4,3.0602,34.836999999999996,2
72844,44,347.0,55.97,-53.27,888.5,2.9955,34.84,2
72845,44,347.0,55.97,-53.27,1099.0,2.9249,34.84,2
72846,44,347.0,55.97,-53.27,1297.6,2.9061,34.847,2
72847,44,347.0,55.97,-53.27,1495.3,2.8789999999999996,34.85,2
72865,44,348.0,57.38,-51.79,697.4,3.0275,34.83,2
72866,44,348.0,57.38,-51.79,898.6,2.963,34.833,2
72867,44,348.0,57.38,-51.79,1096.0,2.7982,34.82,2
72868,44,348.0,57.38,-51.79,1291.5,2.7552,34.816,2
72869,44,348.0,57.38,-51.79,1496.3,2.7495,34.816,2
72887,44,349.0,58.49,-50.56,697.4,3.0325,34.83,2
72888,44,349.0,58.49,-50.56,897.6,3.0147,34.839,2
72889,44,349.0,58.49,-50.56,1096.0,2.8894,34.830999999999996,2
72890,44,349.0,58.49,-50.56,1297.6,2.8626,34.834,2
72891,44,349.0,58.49,-50.56,1497.4,2.8976,34.846,2
72908,44,350.0,57.75,-49.95,598.3,3.0585,34.828,2
72909,44,350.0,57.75,-49.95,847.0,2.9927,34.83,2
72910,44,350.0,57.75,-49.95,1097.0,2.9092,34.834,2
72911,44,350.0,57.75,-49.95,1292.5,2.865,34.835,2
72912,44,350.0,57.75,-49.95,1497.4,2.8937,34.848,2
72929,44,351.0,57.0,-49.32,598.3,3.0167,34.829,2
72930,44,351.0,57.0,-49.32,898.6,2.9124,34.832,2
72931,44,351.0,57.0,-49.32,1147.7,2.8319,34.829,2
72932,44,351.0,57.0,-49.32,1398.0,2.8930000000000002,34.848,2
72952,44,352.0,56.27,-48.7,1196.3,3.0074,34.856,2
72953,44,352.0,56.27,-48.7,1397.0,2.9346,34.854,2
72971,44,353.0,55.55,-48.8,997.8,3.0914,34.864000000000004,2
72972,44,353.0,55.55,-48.8,1197.3,2.9914,34.86,2
72973,44,353.0,55.55,-48.8,1397.0,2.9237,34.858000000000004,2
72995,44,354.0,54.53,-49.12,1398.0,3.0166,34.859,2
73017,44,355.0,53.69,-49.44,1198.3,3.0706,34.861999999999995,2
73018,44,355.0,53.69,-49.44,1398.0,2.9741,34.857,2
73040,44,357.0,53.44,-50.07,1398.0,3.0186,34.861999999999995,2
73059,44,358.0,53.27,-50.55,799.5,3.0349,34.838,2
73060,44,358.0,53.27,-50.55,998.8,2.9792,34.843,2
73061,44,358.0,53.27,-50.55,1198.3,2.8992,34.841,2
73062,44,358.0,53.27,-50.55,1399.0,2.9087,34.852,2
73083,44,359.0,53.13,-50.9,1097.0,3.0212,34.855,2
73084,44,359.0,53.13,-50.9,1297.6,2.9289,34.854,2
73085,44,359.0,53.13,-50.9,1457.8,2.8633,34.85,2
73106,44,361.0,52.87,-51.51,797.5,3.0878,34.845,2
73107,44,361.0,52.87,-51.51,797.5,3.0858,34.846,2
73108,44,361.0,52.87,-51.51,897.6,3.0644,34.849000000000004,2
73109,44,361.0,52.87,-51.51,996.8,3.032,34.849000000000004,2
73110,44,361.0,52.87,-51.51,1097.0,2.9776,34.847,2
73111,44,361.0,52.87,-51.51,1197.3,2.9647,34.852,2
73112,44,361.0,52.87,-51.51,1197.3,2.9627,34.852,2
73113,44,361.0,52.87,-51.51,1298.6,2.9041,34.854,2
73114,44,361.0,52.87,-51.51,1398.0,2.8564,34.853,2
73115,44,361.0,52.87,-51.51,1496.3,2.8147,34.851,2
73126,44,362.0,53.04,-51.1,798.5,3.0966,34.854,2
73127,44,362.0,53.04,-51.1,948.2,3.0128,34.854,2
73128,44,362.0,53.04,-51.1,1097.0,2.9389,34.851,2
73129,44,362.0,53.04,-51.1,1247.9,2.9101,34.853,2
73130,44,362.0,53.04,-51.1,1397.0,2.8634,34.854,2
73148,44,363.0,52.97,-51.3,797.5,3.057,34.845,2
73149,44,363.0,52.97,-51.3,948.2,3.0277,34.85,2
73150,44,363.0,52.97,-51.3,1095.0,2.9222,34.846,2
73151,44,363.0,52.97,-51.3,1185.1,2.9231,34.851,2
73152,44,363.0,52.97,-51.3,1398.0,2.8337,34.85,2
73153,44,363.0,52.97,-51.3,1483.2,2.8078,34.849000000000004,2
73179,44,366.0,57.67,-56.53,1295.6,3.0241,34.863,2
73180,44,366.0,57.67,-56.53,1497.4,2.944,34.861999999999995,2
73197,44,367.0,57.11,-54.6,697.4,2.9997,34.830999999999996,2
73198,44,367.0,57.11,-54.6,896.6,2.989,34.842,2
73199,44,367.0,57.11,-54.6,1091.9,2.8897,34.836999999999996,2
73200,44,367.0,57.11,-54.6,1297.6,2.8586,34.839,2
73201,44,367.0,57.11,-54.6,1496.3,2.8809,34.85,2
73243,44,372.0,55.37,-53.82,897.6,3.0465,34.845,2
73244,44,372.0,55.37,-53.82,1098.0,2.9715,34.85,2
73245,44,372.0,55.37,-53.82,1297.6,2.9556,34.855,2
73246,44,372.0,55.37,-53.82,1297.6,2.9546,34.855,2
73247,44,372.0,55.37,-53.82,1497.4,2.8314,34.849000000000004,2
73261,44,373.0,55.7,-53.53,796.5,3.0958,34.843,2
73262,44,373.0,55.7,-53.53,997.8,2.9942,34.843,2
73263,44,373.0,55.7,-53.53,1197.3,2.9399,34.845,2
73264,44,373.0,55.7,-53.53,1397.0,2.9079,34.85,2
73265,44,373.0,55.7,-53.53,1496.3,2.8898,34.852,2
73282,44,374.0,56.57,-52.66,598.3,3.0784,34.829,2
73283,44,374.0,56.57,-52.66,797.5,3.0649,34.836999999999996,2
73284,44,374.0,56.57,-52.66,998.8,3.0069999999999997,34.842,2
73285,44,374.0,56.57,-52.66,1197.3,2.9558,34.845,2
73286,44,374.0,56.57,-52.66,1398.0,2.8939999999999997,34.843,2
73304,44,375.0,57.94,-51.17,697.4,2.8614,34.830999999999996,2
73305,44,375.0,57.94,-51.17,897.6,2.8449,34.833,2
73306,44,375.0,57.94,-51.17,1097.0,2.8586,34.839,2
73307,44,375.0,57.94,-51.17,1296.6,2.8647,34.846,2
73308,44,375.0,57.94,-51.17,1496.3,2.8216,34.845,2
73328,44,377.0,59.47,-49.5,795.4,3.076,34.835,2
73330,44,377.0,59.47,-49.5,1096.0,2.9905,34.842,2
73331,44,377.0,59.47,-49.5,1346.3,2.8874,34.839,2
73332,44,377.0,59.47,-49.5,1495.3,2.9037,34.848,2
73353,44,378.0,59.9,-49.0,1195.3,3.0976,34.87,2
73354,44,378.0,59.9,-49.0,1397.0,2.9712,34.861999999999995,2
73423,44,381.0,59.05,-43.5,1195.3,3.0768,34.874,2
73424,44,381.0,59.05,-43.5,1195.3,3.0758,34.874,2
73425,44,381.0,59.05,-43.5,1397.0,2.9168,34.868,2
73426,44,381.0,59.05,-43.5,1398.0,2.9167,34.868,2
73441,44,382.0,58.67,-43.5,995.8,2.9527,34.857,2
73444,44,382.0,58.67,-43.5,1397.0,2.8031,34.852,2
73459,44,383.0,58.44,-43.51,1097.0,3.0559,34.868,2
73460,44,383.0,58.44,-43.51,1099.0,3.0597,34.868,2
73461,44,383.0,58.44,-43.51,1341.2,2.9075,34.858000000000004,2
73462,44,383.0,58.44,-43.51,1492.3,2.8367,34.855,2
73483,44,384.0,58.2,-43.5,1097.0,2.9954,34.859,2
73484,44,384.0,58.2,-43.5,1296.6,2.8983,34.853,2
73485,44,384.0,58.2,-43.5,1497.4,2.8116,34.847,2
73501,44,385.0,57.97,-43.5,598.3,3.0147,34.827,2
73502,44,385.0,57.97,-43.5,797.5,2.9874,34.829,2
73503,44,385.0,57.97,-43.5,797.5,2.9874,34.829,2
73504,44,385.0,57.97,-43.5,1097.0,3.0083,34.853,2
73505,44,385.0,57.97,-43.5,1097.0,3.0083,34.852,2
73506,44,385.0,57.97,-43.5,1296.6,2.927,34.85,2
73507,44,385.0,57.97,-43.5,1447.7,2.8691,34.847,2
73523,44,386.0,57.63,-43.5,598.3,2.9659,34.826,2
73524,44,386.0,57.63,-43.5,798.5,3.0449,34.853,2
73525,44,386.0,57.63,-43.5,996.8,2.9566,34.85,2
73526,44,386.0,57.63,-43.5,1197.3,2.8805,34.847,2
73527,44,386.0,57.63,-43.5,1395.9,2.821,34.844,2
73547,44,387.0,57.17,-43.5,997.8,3.014,34.855,2
73548,44,387.0,57.17,-43.5,1197.3,2.9152,34.85,2
73549,44,387.0,57.17,-43.5,1397.0,2.8575,34.849000000000004,2
73568,44,388.0,56.66,-43.5,838.9,3.0489,34.856,2
73569,44,388.0,56.66,-43.5,1098.0,2.9289,34.851,2
73570,44,388.0,56.66,-43.5,1296.6,2.8518,34.845,2
