,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
100278,61,55.0,-0.0035,-17.022000000000002,250.0,12.088,35.164,2
100362,61,59.0,-0.001,-13.136,249.8,12.007,35.164,2
100561,61,70.0,1.9938,-11.027999999999999,251.8,11.954,35.167,2
179837,248,40.0,1.5,-19.0,246.5,12.015,35.169000000000004,2
180233,248,51.0,-3.0010000000000003,-19.0,286.1,12.043,35.161,2
180521,248,59.0,-7.001,-19.0,190.9,11.929,35.162,2
250583,346,82.0,-13.501,0.941,201.3,12.027999999999999,35.177,2
251226,346,108.0,-1.3337,-3.0,250.0,12.025,35.169000000000004,2
262067,361,26.0,-4.997,-7.881,145.1,12.057,35.179,2
262188,361,30.0,-7.0,-8.329,145.5,11.963,35.162,2
