,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
6692,6,540.0,-34.117,16.933,220.5,11.924000000000001,34.996,2
171996,239,41.0,-33.018,0.995,458.0,11.85,35.016,2
172737,239,62.0,-35.6,15.998,300.0,11.802999999999999,35.018,2
175472,240,1.0,-33.865,14.991,253.0,12.155999999999999,35.027,2
175520,240,3.0,-34.653,16.713,203.1,11.96,35.016999999999996,2
175521,240,3.0,-34.653,16.713,203.4,11.947000000000001,35.016,2
175900,240,20.0,-38.095,15.991,353.5,12.117,35.004,2
176043,240,26.0,-38.766,16.504,352.4,12.062000000000001,35.025999999999996,2
176138,240,31.0,-39.254,17.512,399.2,12.2,35.021,2
176150,240,32.0,-39.243,17.305,402.7,12.123,35.013000000000005,2
176199,240,36.0,-39.266999999999996,18.619,499.8,11.825,34.992,2
176873,240,75.0,-36.479,14.434000000000001,383.6,12.061,35.019,2
264635,362,116.0,-35.451,16.368,296.0,11.963,35.023,2
264696,362,118.0,-36.116,15.45,296.3,11.873,35.021,2
265544,362,145.0,-32.105,10.0,395.8,11.81,35.023,2
274181,385,5.0,-33.995,16.952,200.1,11.872,34.993,2
274306,385,11.0,-34.424,14.405,250.0,12.145,35.023,2
274553,385,22.0,-36.507,13.119000000000002,299.7,11.844000000000001,35.02,2
274573,385,23.0,-36.45,13.1,299.9,11.835999999999999,35.027,2
327511,689,12322.0,-35.213,6.0362,358.7,12.03,35.003,2
327695,689,12333.0,-31.236,13.75,256.7,11.927,35.013000000000005,2
