,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
39883,24,19.0,48.02,-19.663,742.4,8.0737,35.239000000000004,2
43816,25,116.0,63.001000000000005,-16.832,495.7,8.3183,35.248000000000005,2
43817,25,116.0,63.001000000000005,-16.832,590.7,8.0838,35.234,2
43831,25,117.0,62.67100000000001,-16.502,695.1,8.0943,35.235,2
66317,38,543.0,52.323,-17.828,799.7,8.0558,35.249,2
77633,46,374.0,58.083999999999996,-19.004,600.7,8.3824,35.239000000000004,2
151751,236,20.0,63.41,-8.383,125.0,8.357000000000001,35.231,2
151785,236,21.0,62.4,-11.888,407.0,8.4466,35.248000000000005,2
151786,236,21.0,62.4,-11.888,455.0,8.3616,35.241,2
151787,236,21.0,62.4,-11.888,503.0,8.2368,35.238,2
151789,236,21.0,62.4,-11.888,554.0,8.1914,35.231,2
162062,237,134.0,56.865,-18.503,546.0,8.3935,35.243,2
162279,237,141.0,58.571999999999996,-11.545,908.0,8.2006,35.236999999999995,2
162307,237,142.0,61.336999999999996,-8.012,151.0,8.3713,35.244,2
162308,237,142.0,61.336999999999996,-8.012,191.0,8.2542,35.236999999999995,2
162310,237,142.0,61.336999999999996,-8.012,204.0,8.2239,35.243,2
162311,237,142.0,61.336999999999996,-8.012,241.0,8.1401,35.239000000000004,2
186172,258,107.0,57.147,-17.917,601.2,8.3763,35.233000000000004,2
186190,258,108.0,56.917,-17.352999999999998,704.8,8.4964,35.242,2
186239,258,113.0,55.806000000000004,-14.731,801.9,8.139,35.246,2
186321,258,117.0,55.669,-14.4,900.2,7.9339,35.239000000000004,2
186345,258,118.0,55.516999999999996,-14.075,896.3,8.0945,35.245,2
186441,258,122.0,54.551,-11.837,902.9,8.0163,35.242,2
186465,258,123.0,54.508,-11.714,898.9,8.0889,35.246,2
186513,258,125.0,54.453,-11.589,902.1,8.0431,35.243,2
186537,258,126.0,54.43600000000001,-11.545,899.8,7.9456,35.243,2
186559,258,127.0,54.417,-11.503,903.7,8.0723,35.249,2
188728,259,37.0,53.69,-14.315999999999999,762.6,8.2365,35.246,2
188729,259,37.0,53.69,-14.315999999999999,838.8,7.9288,35.248000000000005,2
188841,259,42.0,54.417,-15.83,857.1,7.9377,35.244,2
189002,259,51.0,57.751000000000005,-9.809,958.9,7.9254,35.234,2
189017,259,52.0,57.748000000000005,-9.981,858.5,8.1899,35.248000000000005,2
189037,259,53.0,57.743,-10.421,907.2,7.9609,35.24,2
189063,259,54.0,57.751000000000005,-11.165999999999999,958.8,7.9053,35.242,2
189082,259,55.0,57.75,-11.842,790.3,8.1613,35.239000000000004,2
189103,259,56.0,57.748999999999995,-12.347000000000001,744.4,8.2367,35.25,2
189125,259,57.0,57.758,-12.55,800.9,8.0435,35.245,2
189145,259,58.0,57.77,-12.763,760.6,8.2166,35.244,2
189164,259,59.0,57.785,-12.886,825.9,8.2848,35.242,2
189223,259,65.0,58.533,-16.95,708.7,8.3737,35.244,2
197834,262,95.0,57.246,-18.13,698.9,8.2934,35.232,2
197899,262,100.0,55.818000000000005,-14.765,802.1,7.9552,35.239000000000004,2
197900,262,100.0,55.818000000000005,-14.765,824.8,7.9005,35.239000000000004,2
197913,262,101.0,55.725,-14.555,800.5,8.283,35.246,2
197937,262,102.0,55.516000000000005,-14.071,800.4,8.4155,35.249,2
198059,262,107.0,54.446999999999996,-11.519,999.3,7.925,35.241,2
198124,262,112.0,53.16,-14.999,900.7,8.1901,35.239000000000004,2
238014,342,2.0,63.214,-19.994,299.8,8.1607,35.241,2
238015,342,2.0,63.214,-19.994,350.0,8.1033,35.235,2
238016,342,2.0,63.214,-19.994,400.3,8.0453,35.233000000000004,2
238035,342,3.0,63.125,-19.999000000000002,325.0,8.2084,35.246,2
238036,342,3.0,63.125,-19.999000000000002,375.0,8.128,35.24,2
238037,342,3.0,63.125,-19.999000000000002,425.4,8.0358,35.233000000000004,2
238052,342,4.0,62.748999999999995,-20.0,134.7,8.4753,35.24,2
238053,342,4.0,62.748999999999995,-20.0,159.9,8.4528,35.246,2
238058,342,4.0,62.748999999999995,-20.0,374.8,8.2534,35.25,2
238059,342,4.0,62.748999999999995,-20.0,424.7,8.2089,35.247,2
238060,342,4.0,62.748999999999995,-20.0,475.5,8.1134,35.238,2
238086,342,5.0,62.333,-20.0,500.1,8.1927,35.242,2
238106,342,6.0,61.833,-19.999000000000002,149.4,8.3863,35.25,2
