,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
1043,2,321.0,-69.307,-1.062,2567.0,-0.32623,34.659,2
3504,4,153.0,-63.933,-49.15,2247.0,-0.31187,34.66,2
3712,4,162.0,-65.633,-39.217,2002.0,-0.30701999999999996,34.66,2
4441,4,197.0,-69.483,-8.2167,2746.4,-0.29691999999999996,34.66,2
4457,4,198.0,-69.233,-8.2,2497.4,-0.28615999999999997,34.66,2
5283,5,51.0,-65.043,-40.757,1999.1,-0.32277,34.66,2
5355,5,56.0,-65.28,-39.297,1998.1,-0.3229,34.66,2
5375,5,57.0,-65.413,-37.922,1997.9,-0.31885,34.66,2
5446,5,60.0,-65.83,-34.35,1996.6,-0.3038,34.66,2
5686,5,70.0,-66.23,-27.726999999999997,2196.4,-0.30754000000000004,34.66,2
5758,5,73.0,-65.087,-29.511999999999997,1991.4,-0.29439,34.66,2
5759,5,73.0,-65.087,-29.511999999999997,1992.1,-0.29483000000000004,34.66,2
5760,5,73.0,-65.087,-29.511999999999997,1992.7,-0.29517,34.66,2
5851,5,77.0,-66.692,-30.593000000000004,1974.7,-0.27799,34.66,2
6158,5,90.0,-67.843,-20.85,2394.7,-0.3245,34.66,2
8374,6,624.0,-65.783,-34.867,2199.1,-0.31943,34.66,2
8398,6,625.0,-65.55,-36.45,2198.6,-0.32911999999999997,34.659,2
8518,6,630.0,-63.717,-43.367,2199.1,-0.31049,34.66,2
9014,7,860.0,-56.989,-30.44,2995.0,-0.27676,34.659,2
9015,7,860.0,-56.989,-30.44,3297.0,-0.30691,34.659,2
9018,7,860.0,-56.989,-30.44,3431.0,-0.31606999999999996,34.659,2
9019,7,860.0,-56.989,-30.44,3443.0,-0.31619,34.659,2
9247,7,866.0,-57.745,-6.4667,3247.0,-0.31321,34.659,2
9248,7,866.0,-57.745,-6.4667,3248.0,-0.3133,34.659,2
11367,7,911.0,-55.856,-5.9808,3496.0,-0.3006,34.66,2
11368,7,911.0,-55.856,-5.9808,3497.0,-0.30264,34.66,2
11665,7,917.0,-58.483999999999995,-5.9942,1997.0,-0.27873000000000003,34.66,2
11666,7,917.0,-58.483999999999995,-5.9942,1998.0,-0.27879,34.659,2
11667,7,917.0,-58.483999999999995,-5.9942,1999.0,-0.2828,34.66,2
11668,7,917.0,-58.483999999999995,-5.9942,2000.0,-0.28286999999999995,34.66,2
14958,8,50.0,-65.363,-38.528,2000.0,-0.28651,34.659,2
15006,8,52.0,-65.08800000000001,-40.516999999999996,2002.7,-0.29388000000000003,34.66,2
15318,8,65.0,-63.757,-50.853,2100.0,-0.29963,34.66,2
17000,11,37.0,-56.001000000000005,-0.0025,2500.7,-0.28415,34.66,2
19771,13,39.0,-62.522,-43.327,1691.1,-0.28411,34.66,2
19874,13,46.0,-60.42,-44.211999999999996,2398.6,-0.29279,34.66,2
20359,13,72.0,-63.015,-50.178000000000004,2198.2,-0.30954,34.66,2
21279,13,116.0,-55.998000000000005,0.0,2495.4,-0.29796999999999996,34.66,2
26699,15,159.0,-60.099,-55.262,3452.2,-0.307,34.66,2
26721,15,160.0,-59.825,-55.983000000000004,3434.5,-0.29281,34.66,2
26744,15,161.0,-59.547,-56.684,3475.0,-0.2936,34.66,2
27868,16,584.0,-64.383,-52.888999999999996,2029.2,-0.31940999999999997,34.659,2
28131,18,319.0,-69.078,-3.011,2999.8,-0.32898,34.66,2
28832,18,350.0,-69.00399999999999,-0.012,3000.7,-0.31536,34.659,2
31670,19,174.0,-69.098,-0.00139,3053.7,-0.29739,34.659,2
31671,19,174.0,-69.098,-0.00139,3153.2,-0.30108,34.659,2
31672,19,174.0,-69.098,-0.00139,3206.5,-0.30574,34.659,2
31673,19,174.0,-69.098,-0.00139,3239.7,-0.30769,34.659,2
31964,19,184.0,-69.0,-6.9851,2899.2,-0.28436999999999996,34.66,2
31965,19,184.0,-69.0,-6.9851,2949.7,-0.30326,34.66,2
32971,19,215.0,-63.781000000000006,-50.431999999999995,2182.2,-0.29561,34.66,2
33037,19,216.0,-63.706,-50.873000000000005,2029.2,-0.27405,34.659,2
36259,20,109.0,-63.717,-50.81100000000001,2029.7,-0.2933,34.659,2
47178,28,122.0,-59.251999999999995,-47.25,3446.4,-0.27431,34.66,2
47198,28,123.0,-60.205,-45.665,2394.7,-0.30663,34.659,2
47230,28,124.0,-60.652,-41.935,2251.0,-0.27305,34.66,2
47266,28,125.0,-60.687,-41.287,2495.8,-0.28702,34.66,2
47288,28,126.0,-60.538000000000004,-39.196999999999996,2503.2,-0.28365999999999997,34.66,2
47893,28,149.0,-58.498000000000005,-1.0,2418.0,-0.31878,34.659,2
155357,236,81.0,-55.977,-26.438000000000002,2531.0,-0.32443,34.659,2
155468,236,83.0,-56.808,-22.366999999999997,3163.0,-0.30877,34.659,2
155551,236,85.0,-57.512,-17.383,3313.0,-0.30933,34.66,2
155584,236,86.0,-57.867,-14.533,3278.0,-0.3023,34.66,2
174233,239,102.0,-60.262,-19.148,2626.0,-0.31025,34.659,2
174349,239,105.0,-59.573,-22.435,3117.0,-0.32138,34.659,2
174431,239,107.0,-59.263000000000005,-23.982,2170.0,-0.28688,34.66,2
174472,239,108.0,-59.105,-24.487,1757.0,-0.3101,34.659,2
174508,239,109.0,-58.922,-25.123,1789.0,-0.30329,34.659,2
174537,239,110.0,-58.797,-25.837,1931.0,-0.32545,34.659,2
174562,239,111.0,-58.681999999999995,-26.843000000000004,2103.0,-0.29197,34.659,2
174563,239,111.0,-58.681999999999995,-26.843000000000004,2103.0,-0.29197,34.659,2
174564,239,111.0,-58.681999999999995,-26.843000000000004,2304.0,-0.32505,34.659,2
174588,239,112.0,-58.413000000000004,-27.613000000000003,2574.0,-0.28756,34.659,2
174882,239,120.0,-58.827,-41.603,2324.0,-0.29608,34.659,2
175083,239,125.0,-60.018,-47.87,2085.0,-0.30251999999999996,34.66,2
175117,239,126.0,-60.435,-48.48,1689.0,-0.27618000000000004,34.659,2
175248,239,130.0,-59.353,-50.236999999999995,2765.0,-0.2851,34.659,2
175399,239,134.0,-60.73,-55.463,3075.0,-0.28847,34.66,2
175400,239,134.0,-60.73,-55.463,3227.0,-0.30461,34.659,2
175402,239,134.0,-60.73,-55.463,3430.0,-0.31988,34.659,2
175403,239,134.0,-60.73,-55.463,3490.0,-0.32538,34.66,2
242908,343,3.0,-59.0,-30.921,2900.5,-0.30257,34.66,2
342240,701,33.0,-61.108999999999995,-31.041,2290.6,-0.32761,34.659,2
342296,701,36.0,-59.995,-30.93,2497.6,-0.27921,34.66,2
342297,701,36.0,-59.995,-30.93,2801.7,-0.30169,34.659,2
342318,701,37.0,-59.766000000000005,-30.906,2499.2,-0.27639,34.66,2
342341,701,38.0,-59.674,-30.897,2692.3,-0.29013,34.66,2
342342,701,38.0,-59.674,-30.897,2914.4,-0.30432,34.66,2
342343,701,38.0,-59.674,-30.897,2915.8,-0.30443000000000003,34.66,2
342381,701,40.0,-59.05,-30.83,2497.6,-0.2746,34.659,2
342402,701,41.0,-58.635,-30.825,2998.0,-0.28806,34.659,2
342447,701,43.0,-57.801,-30.833000000000002,3606.0,-0.28562,34.66,2
342448,701,43.0,-57.801,-30.833000000000002,3607.0,-0.28570999999999996,34.659,2
344816,703,29.0,-60.65,-42.208999999999996,1998.5,-0.27321999999999996,34.659,2
344837,703,30.0,-60.65,-42.19,2283.6,-0.2893,34.659,2
344840,703,30.0,-60.65,-42.19,2450.4,-0.2853,34.659,2
344883,703,32.0,-60.63,-42.09,2529.9,-0.31633,34.659,2
345554,703,60.0,-60.68600000000001,-28.263,2121.2,-0.28297,34.659,2
359534,1004,66.0,-69.005,-6.9852,2847.5,-0.27095,34.66,2
359535,1004,66.0,-69.005,-6.9852,2847.5,-0.27096,34.66,2
359536,1004,66.0,-69.005,-6.9852,2943.4,-0.30425,34.659,2
359537,1004,66.0,-69.005,-6.9852,2943.4,-0.30425,34.659,2
406036,1042,94.0,-52.5,-35.55,3926.5,-0.28193,34.66,2
406417,1042,112.0,-59.501000000000005,-30.919,3147.0,-0.2713,34.659,2
416544,1110,74.0,-60.65,-42.21,1963.2,-0.28545,34.659,2
416592,1110,77.0,-60.63,-42.09,2544.1,-0.30943000000000004,34.66,2
416629,1110,79.0,-60.57,-41.69,2443.7,-0.2783,34.66,2
416709,1110,85.0,-60.42,-38.71,2424.6,-0.32268,34.66,2
416848,1110,95.0,-59.86,-33.07,2506.8,-0.31096999999999997,34.659,2
416962,1110,103.0,-59.99,-30.93,2995.6,-0.29446,34.66,2
416963,1110,103.0,-59.99,-30.93,3034.7,-0.31361,34.66,2
416964,1110,103.0,-59.99,-30.93,3035.5,-0.31495,34.66,2
416995,1110,105.0,-59.67,-30.9,2813.7,-0.30987,34.659,2
416996,1110,105.0,-59.67,-30.9,2916.7,-0.32461,34.659,2
416997,1110,105.0,-59.67,-30.9,2968.4,-0.32355,34.659,2
416998,1110,105.0,-59.67,-30.9,3015.2,-0.3271,34.659,2
416999,1110,105.0,-59.67,-30.9,3015.2,-0.3271,34.659,2
417012,1110,106.0,-59.44,-30.86,3072.1,-0.3083,34.66,2
417030,1110,107.0,-59.05,-30.83,2971.3,-0.31284,34.66,2
417031,1110,107.0,-59.05,-30.83,3073.7,-0.32231,34.66,2
417032,1110,107.0,-59.05,-30.83,3125.2,-0.32791,34.659,2
417068,1110,109.0,-58.21,-30.82,3967.3,-0.31715,34.66,2
417103,1110,111.0,-57.46,-31.33,3627.5,-0.27473000000000003,34.659,2
417104,1110,111.0,-57.46,-31.33,3731.5,-0.27528,34.659,2
417513,1110,137.0,-51.64,-40.49,3781.4,-0.32824000000000003,34.66,2
417514,1110,137.0,-51.64,-40.49,3781.5,-0.32864,34.66,2
418197,1111,20.0,-58.688,-56.155,3844.8,-0.27468000000000004,34.66,2
418245,1111,24.0,-60.005,-55.318999999999996,3551.6,-0.28417,34.66,2
