,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
12708,7,947.0,-53.995,-5.9983,9.0,-1.0872,33.906,2
12709,7,947.0,-53.995,-5.9983,9.0,-1.0872,33.906,2
12710,7,947.0,-53.995,-5.9983,9.0,-1.0982,33.907,2
12711,7,947.0,-53.995,-5.9983,9.0,-1.0872,33.906,2
12712,7,947.0,-53.995,-5.9983,18.0,-1.0984,33.906,2
12713,7,947.0,-53.995,-5.9983,18.0,-1.0984,33.906,2
12714,7,947.0,-53.995,-5.9983,18.0,-1.0984,33.906,2
12715,7,947.0,-53.995,-5.9983,18.0,-1.0984,33.906,2
12716,7,947.0,-53.995,-5.9983,19.0,-1.0965,33.906,2
12717,7,947.0,-53.995,-5.9983,19.0,-1.0965,33.906,2
12718,7,947.0,-53.995,-5.9983,19.0,-1.0965,33.906,2
12719,7,947.0,-53.995,-5.9983,19.0,-1.0965,33.906,2
12724,7,947.0,-53.995,-5.9983,39.0,-1.099,33.906,2
12725,7,947.0,-53.995,-5.9983,39.0,-1.099,33.906,2
12726,7,947.0,-53.995,-5.9983,39.0,-1.099,33.906,2
23389,14,121.0,-64.959,19.015,19.6,-0.9892,33.907,2
28787,18,349.0,-69.609,0.002,9.2,-1.0702,33.891999999999996,2
34818,20,35.0,-57.498999999999995,-0.0143,10.11,-1.0838,33.891999999999996,2
141031,226,20.0,-64.15,-63.1,60.0,-1.0125,33.893,2
228058,332,16.0,-60.325,-63.17,76.0,-1.0319,33.908,2
312255,674,14.0,-57.369,17.259,77.4,-1.0778,33.898,2
347471,711,1704.0,-54.742,0.006,9.2,-0.90254,33.900999999999996,2
347472,711,1704.0,-54.742,0.006,25.8,-0.98456,33.907,2
347473,711,1704.0,-54.742,0.006,50.1,-0.98929,33.908,2
418331,1111,33.0,-60.208999999999996,-61.174,105.5,-0.95999,33.91,2
