LATITUDE;LONGITUDE;CTDPRS;CTDTPOT;CTDSAL;EDW;ENACW12;WNACW7;SPMW;SACWT12;SACWE12;WW;AAIW5;AAIW3;MW;LSW;ISOW;DSOW;CDW;WSDW
37,125;-68,051;440,4;17,782;36,537;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,195;-67,44;317,1;17,893;36,541;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35,705;-67,173;467,6;17,781;36,526;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35,224;-66,885;301,7;17,933;36,553;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35,224;-66,885;351,3;17,726;36,523;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34,74;-66,581;369,5;17,904;36,551;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34,261;-66,293;468,6;17,757;36,529;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33,784;-65,991;352,4;17,889;36,548;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33,353;-65,595;317,8;17,926;36,557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32,648;-64,929;352,3;17,756;36,532;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31,906;-65,042;317,2;17,959;36,559;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31,31;-65,287;386,8;17,821;36,545;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,608;-65,339;351,6;17,833;36,549;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,322;-69,746;408,43;17,683;36,533;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,102;-69,701;408,22;17,975;36,55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,254;-63,018;307,1;17,841;36,536;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,237;-61,174;306,72;17,882;36,528;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,237;-59,915;407,26;17,924;36,56;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,237;-55,614;306,34;17,749;36,534;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,271;-56,476;303,7;18,059;36,523;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,251;-59,004;381,4;17,982;36,531;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,276;-59,591;296,8;18,065;36,541;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,239;-62,156;295,4;18,102;36,541;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,258;-63,44;303,2;18,232;36,554;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,323;-69,376;381;18,171;36,543;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,893;-70,608;426,3;17,965;36,527;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,084;-71,025;388,2;17,97;36,533;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39,246;-58,801;330,1;18,353;36,554;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,417;-61,31;405,8;18,012;36,556;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,417;-61,31;453,2;17,874;36,535;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,188;-66,073;477,9;17,884;36,535;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,31;-66,047;449,4;17,885;36,54;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,568;-65,563;349,8;17,921;36,543;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,591;-61,504;399,2;17,995;36,546;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,205;-59,192;459,8;17,83;36,531;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
