LATITUDE;LONGITUDE;CTDPRS;CTDTPOT;CTDSAL;EDW;ENACW12;WNACW7;SPMW;SACWT12;SACWE12;WW;AAIW5;AAIW3;MW;LSW;ISOW;DSOW;CDW;WSDW
36,287;-56,398;398,8;18,018;36,525;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35,997;-68,002;253;18,281;36,554;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35,997;-68,002;392;18,124;36,556;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31,667;-68,497;293;17,984;36,547;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,983;-73,302;407;18,039;36,548;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,84;-74,052;297;18,087;36,55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,224;-66,004;250,3;18,23;36,559;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,224;-66,004;300,8;17,96;36,525;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,887;-66;251,7;18,261;36,558;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,887;-66;300,8;18,062;36,537;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31,556;-65,989;302,1;18,065;36,559;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32,224;-65,997;251,2;18,135;36,557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32,224;-65,997;299,9;17,972;36,532;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32,893;-66,001;253,1;18,071;36,555;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32,893;-66,001;299,8;17,996;36,547;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33,56;-65,999;299,8;18,13;36,557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33,56;-65,999;400,4;17,901;36,531;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34,224;-65,996;302,2;18,044;36,553;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34,897;-66,007;399,1;18,042;36,557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35,557;-65,997;399,2;17,93;36,539;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,217;-66,002;400,9;17,968;36,547;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,903;-65,999;302,3;18,054;36,551;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,411;-65,99;399,7;17,856;36,524;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,736;-66;298,9;18,065;36,554;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,736;-66;399,7;17,867;36,529;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,996;-65,987;399,6;18,028;36,557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,231;-65,994;349,8;18,064;36,533;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,231;-65,994;349,8;18,064;36,531;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,231;-65,994;351,5;18,049;36,531;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30,905;-66,002;350,9;18,085;36,532;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31,569;-65,99;351,1;18,085;36,53;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35,721;-67,188;300,3;18,213;36,543;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,213;-67,475;350,1;18,183;36,542;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,669;-67,757;350,5;18,163;36,538;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,907;-67,919;400,2;18,279;36,557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,147;-68,067;400,5;18,205;36,546;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,593;-70,305;293,5;18,224;36,532;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,457;-70,025;293,5;18,045;36,537;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,243;-69,157;295,5;17,986;36,534;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,305;-67,313;299,5;17,94;36,531;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,225;-66,675;296,5;18,086;36,538;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,225;-66,675;394,4;17,952;36,529;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,217;-66,077;296,5;17,985;36,541;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,217;-66,077;396,4;17,748;36,52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,198;-65,437;291,4;18,01;36,539;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,198;-65,437;391,4;17,782;36,52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,268;-63,528;296,5;17,803;36,528;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,302;-59,182;293,5;17,806;36,53;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,825;-69,415;454,9;17,969;36,556;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,547;-69,444;304,1;18,113;36,533;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,99;-69,444;426,3;17,995;36,559;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,156;-69,471;453,4;17,78;36,52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,602;-68,048;455,6;17,883;36,538;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,709;-67,892;428,4;17,752;36,523;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,41;-66,692;431,6;17,919;36,551;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,782;-65,98;402,8;18,076;36,558;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,782;-65,98;453,5;17,846;36,521;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36,939;-65,977;477,4;17,947;36,549;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,254;-65,971;425,8;18,059;36,557;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,413;-65,966;348,9;18,065;36,543;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,63;-65,033;352,9;18,212;36,559;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,363;-64,248;404,4;17,982;36,538;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,654;-64,514;452,7;17,84;36,53;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,801;-64,647;426,7;17,871;36,542;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,203;-63,801;449,9;17,874;36,537;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37,842;-62,422;401,5;17,868;36,541;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,013;-62,454;429;17,898;36,548;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,185;-62,489;453,1;17,755;36,528;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,531;-62,557;384;18,064;36,552;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,531;-62,557;427,4;17,878;36,538;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,703;-62,594;453,4;17,961;36,542;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,875;-62,626;429;17,931;36,548;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38,267;-63,025;451,8;17,962;36,548;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
